name,1948-2023,average,is_increasing_name,is_timeless_name,if_jew_boys_muslim_boys_common,if_jew_boys_jew_girls,is_common_name,international_score,bible_score,nature_score,art_score,syllabels_score,light_score,summer_score,winter_score,spring_score,autumn_score
יחיאל,7440,0.00196352807984786,1,1,0.0,0.0,1.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.0,0.0
בנימין,23653,0.006275494352381624,1,1,0.0,0.0,1.0,0.6,1,0.2,0.0,3,0,0.0,0.0,0.0,0.0
אהרון,29370,0.00768656585631815,1,1,0.0,0.0,1.0,0.8,1,0,0.0,3,0,0.0,0.0,0.0,0.0
יואל,8279,0.0022407963591641474,0,1,0.0,0.0,1.0,0.5,1,0,0.0,2,0,0.0,0.0,0.0,0.0
דן,14383,0.003918356330774512,0,1,0.0,0.0,1.0,0.8,1,0,0.0,1,0,0.0,0.0,0.0,0.0
דוד,95039,0.025774692369277694,1,1,0.0,0.0,1.0,1.0,1,0,0.6,2,0,0.0,0.0,0.0,0.0
יהושע,11407,0.003099369860208543,1,1,0.0,0.0,1.0,0.8,1,0.2,0.0,3,0,0.0,0.0,0.0,0.0
שמואל,36732,0.009669786780885163,1,1,0.0,0.0,1.0,0.8,1,0,0.0,2,0,0.0,0.0,0.0,0.0
משה,77288,0.02118593105103563,1,1,0.0,0.0,1.0,1.0,1,0.2,0.2,2,0,0.0,0.0,0.0,0.0
שלום,16402,0.004505132717366022,1,1,0.0,0.0,1.0,0.2,1,0,0.2,2,0,0.0,0.0,0.0,0.0
ישראל,40755,0.010366747559968198,1,1,0.0,0.0,1.0,0.5,1,0.2,0.0,3,0,0.0,0.0,0.0,0.0
שלמה,40079,0.011011740318598764,1,1,0.0,0.0,1.0,0.8,1,0,0.6,3,0,0.0,0.0,0.0,0.0
מנחם,19030,0.004815743442671458,1,1,0.0,0.0,1.0,0.0,1,0,0.0,3,0,0.0,0.0,0.0,0.0
שמעון,35581,0.009612631760859107,1,1,0.0,0.0,1.0,0.6,1,0,0.0,2,0,0.0,0.0,0.0,0.0
אברהם,69608,0.019196538909323362,1,1,0.0,0.0,1.0,1.0,1,0.2,0.0,3,0,0.0,0.0,0.0,0.0
בצלאל,2098,0.0005557115529196101,0,1,0.0,0.0,0.0,0.0,1,0.2,1.0,3,0.2,0.0,0.0,0.0,0.0
יששכר,1570,0.0004058435054222835,1,1,0.0,0.0,0.0,0.0,1,0.2,0.0,3,0,0.0,0.0,0.0,0.2
ברוך,9860,0.0027203840151302306,1,1,0.0,0.0,1.0,0.2,1,0,0.0,1,0.2,0.0,0.0,0.0,0.0
יוסף,80383,0.02185935033531347,0,1,1.0,0.0,1.0,1.0,1,0,0.0,2,0,0.0,0.0,0.0,0.0
פנחס,11088,0.0029935021326444977,1,1,0.0,0.0,1.0,0.0,1,0,0.0,2,0,0.0,0.0,0.0,0.0
חיים,44369,0.012140901460297863,1,1,0.0,0.0,1.0,0.6,1,0.5,0.0,2,0,0.5,0.0,0.6,0.0
יהודה,38794,0.009793574644799928,1,1,0.0,0.0,1.0,1.0,1,0,0.0,3,0,0.0,0.0,0.0,0.0
עמנואל,5162,0.0013423616734167152,1,1,0.0,1.0,1.0,0.8,1,0,0.2,4,0.5,0.0,0.0,0.0,0.0
נתן,15151,0.003778161876100841,1,1,0.0,0.0,1.0,0.8,1,0,0.0,2,0,0.0,0.0,0.0,0.0
מאיר,33327,0.009211450310679695,1,1,0.0,0.0,1.0,0.4,0.7,0.6,0.0,2,1,1.0,0.0,0.6,0.0
נפתלי,6460,0.0016346837377677315,1,1,0.0,0.0,1.0,0.2,1,0.2,0.0,3,0,0.0,0.0,0.0,0.0
גבריאל,13980,0.0038899266888036237,1,1,0.0,0.0,1.0,1.0,1,0,0.5,3,0.5,0.0,0.0,0.0,0.0
יאן,2353,0.0006069855077327279,1,1,0.0,0.0,0.0,1.0,0.2,0.2,0.2,1,0,0.0,0.0,0.0,0.0
אליהו,32711,0.009175067579933086,1,1,0.0,0.0,1.0,0.6,1,0.2,0.0,4,0.5,0.0,0.0,0.0,0.0
נח,1833,0.00047140205165631724,1,1,0.0,0.0,0.0,1.0,1,0.6,0.0,1,0,0.0,0.2,0.2,0.0
אשר,11130,0.0031062785318125828,1,1,0.0,0.0,1.0,0.0,0.8,0,0.0,2,0,0.0,0.0,0.0,0.0
מרדכי,31180,0.00863447476755517,1,1,0.0,0.0,1.0,0.5,1,0,0.0,3,0,0.0,0.0,0.0,0.0
יצחק,58262,0.016313198113678675,1,1,0.0,0.0,1.0,0.8,1,0,0.0,2,0,0.0,0.0,0.0,0.0
יוחנן,2718,0.0007326961482996202,0,1,0.0,0.0,0.0,0.8,1,0,0.0,3,0.5,0.0,0.0,0.0,0.0
דניאל,60259,0.015468628326976635,0,1,0.0,0.0,1.0,1.0,1,0,0.0,3,0.2,0.0,0.0,0.0,0.0
יחזקאל,7175,0.0019941886285168536,1,1,0.0,0.0,0.0,0.0,1,0,0.0,4,0,0.0,0.0,0.0,0.0
אליעזר,10834,0.002918652942540869,1,1,0.0,0.0,1.0,0.2,1,0,0.0,4,0,0.0,0.0,0.0,0.0
יעקב,64220,0.018010432504434487,0,1,0.0,0.0,1.0,1.0,1,0,0.0,2,0,0.0,0.0,0.0,0.0
אפרים,9596,0.002687214883083848,1,1,0.0,0.0,1.0,0.3,1,0.5,0.0,3,0,0.2,0.0,0.2,0.2
יונה,2352,0.0006420553419192,1,1,0.0,0.0,0.0,0.6,1,1,0.5,2,0,0.2,0.2,0.7,0.2
עזריאל,1237,0.00032707687461273384,1,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.0,0.0
מיכאל,51362,0.014312644404509122,1,1,0.0,0.0,1.0,1.0,1,0,0.2,3,0,0.0,0.0,0.0,0.0
נחמיה,1563,0.0004226754382906319,1,1,0.0,0.0,0.0,0.0,1,0.2,0.0,3,0,0.0,0.0,0.2,0.0
נוריאל,856,0.00021695586500021426,1,1,0.0,0.0,0.0,0.0,0.4,0.2,0.0,3,1,0.2,0.0,0.2,0.0
רפאל,29051,0.007397050669734556,1,1,0.0,0.0,1.0,1.0,1,0,1.0,3,0.5,0.0,0.0,0.0,0.0
אלישע,2472,0.0006111317010771859,1,1,0.0,0.0,0.0,0.3,1,0,0.0,3,0,0.0,0.0,0.0,0.0
אבישי,6592,0.0016541787718261283,0,1,0.0,0.0,1.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.0,0.0
יפתח,2746,0.0006864304119255146,0,1,0.0,0.0,0.0,0.0,1,0,0.0,2,0,0.0,0.0,0.0,0.0
לאון,1868,0.0005061322367536524,0,1,0.0,0.0,0.0,0.6,0.2,0.8,0.0,2,0,0.0,0.0,0.0,0.0
אבינועם,2012,0.0005494379071282696,0,1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,3,0,0.0,0.0,0.0,0.0
חנוך,2505,0.0006944365776548025,1,1,0.0,0.0,0.0,0.2,1,0,0.0,2,0,0.0,0.0,0.0,0.0
ישעיהו,2137,0.0005934641506278164,1,1,0.0,0.0,0.0,0.0,1,0.2,0.5,4,0.5,0.0,0.0,0.0,0.0
צבי,16701,0.004624328935321244,1,1,0.0,0.0,1.0,0.3,0.8,1,0.2,1,0,0.2,0.0,0.6,0.0
מתתיהו,1435,0.00040302693819868027,1,1,0.0,0.0,0.0,0.0,1,0,0.0,4,0,0.0,0.0,0.0,0.0
סמואל,1172,0.00031549063154527265,0,1,0.0,0.0,0.0,1.0,1,0,0.0,3,0,0.0,0.0,0.0,0.0
טוביה,1855,0.0004846358998008097,1,1,0.0,0.0,0.0,0.3,1,0.2,0.0,3,0.5,0.0,0.0,0.2,0.0
אורי,46295,0.011050242224010099,0,1,0.0,0.0,1.0,0.5,0.8,0.2,0.2,2,1,0.6,0.0,0.2,0.0
יאיר,26791,0.006479662247106447,0,1,0.0,0.0,1.0,0.4,1,0.5,0.0,2,1,0.7,0.0,0.6,0.0
יואב,17022,0.004306392119154287,0,1,0.0,0.0,1.0,0.0,1,0,0.0,2,0,0.0,0.0,0.0,0.0
עקיבא,3197,0.0007719146058374305,1,1,0.0,0.0,0.0,0.0,1,0,0.0,3,0,0.0,0.0,0.0,0.0
חזקיהו,332,8.00099904802374e-05,1,1,0.0,0.0,0.0,0.0,1,0,0.0,4,0,0.0,0.0,0.0,0.0
רון,16843,0.004452334092266755,0,1,0.0,0.0,1.0,0.5,0.4,0.2,0.2,1,0.2,0.2,0.0,0.2,0.0
נחום,3888,0.001098781051827994,1,1,0.0,0.0,0.0,0.3,1,0.2,0.0,2,0,0.0,0.0,0.0,0.0
עובדיה,3017,0.0008010753107524274,0,1,0.0,0.0,0.0,0.0,1,0,0.0,4,0,0.0,0.0,0.0,0.0
מירון,935,0.00024605886771323417,0,1,0.0,0.0,0.0,0.0,0.4,0.5,0.0,2,0,0.0,0.0,0.2,0.0
אוריאל,8909,0.0021379992463934454,0,1,0.0,0.0,1.0,0.5,0.8,0.3,0.2,3,1,0.6,0.0,0.2,0.0
עשהאל,373,8.861843068222026e-05,0,1,0.0,0.0,0.0,0.0,0.8,0,0.0,3,0,0.0,0.0,0.0,0.0
שרגא,1154,0.00031272504861767133,1,1,0.0,0.0,0.0,0.0,0.4,0,0.0,2,1,0.2,0.0,0.0,0.0
מייקל,1218,0.0003130125225838611,1,1,0.0,0.0,0.0,1.0,0,0,0.5,2,0,0.0,0.0,0.0,0.0
זוהר,5648,0.0014836796019953046,0,1,0.0,1.0,0.0,0.3,0.7,0.8,0.6,2,1,0.8,0.0,0.5,0.2
ליאון,1618,0.0004202181481508316,1,1,0.0,0.0,0.0,1.0,0,0.8,0.2,2,0,0.2,0.0,0.0,0.0
