name,1948-2023,average,is_increasing_name,is_timeless_name,if_jew_girls_muslim_girls_common,if_jew_boys_jew_girls,is_common_name,international_score,bible_score,nature_score,art_score,syllabels_score,light_score
שפרה,4266,0.0011306729671610577,1,1,0.0,0.0,1.0,0.0,1,0.5,0.2,2,0
דבורה,18570,0.005141756347414893,1,1,0.0,0.0,1.0,0.6,1,1,0.2,3,0
רבקה,41417,0.011207683169677051,1,1,0.0,0.0,1.0,1.0,1,0.2,0.2,3,0
חוה,10094,0.0027127370048729478,1,1,0.0,0.0,1.0,0.6,1,1,0.2,2,0
יוכבד,5757,0.0015643431113211814,1,1,0.0,0.0,1.0,0.0,1,0.2,0.0,3,0
חנה,45575,0.012436374558579297,1,1,0.0,0.0,1.0,1.0,1,0.2,0.2,2,0
דניאלה,9158,0.0024521049598124427,0,1,0.0,0.0,1.0,1.0,0.7,0,0.2,4,0
נחמה,11202,0.0028989170059677983,1,1,0.0,0.0,1.0,0.2,0.8,0,0.3,3,0
מרים,45170,0.01269961082955177,1,1,1.0,0.0,1.0,1.0,1,0.2,0.2,2,0
חיה,28998,0.007477034519671663,1,1,0.0,0.0,1.0,0.5,1,1,0.0,2,0
רוחמה,2726,0.0007716114427010369,0,1,0.0,0.0,0.0,0.0,0.8,0.5,0.5,3,0
גולדה,2200,0.0005789188279762245,1,1,0.0,0.0,0.0,0.3,0.4,0,0.2,2,0
ברכה,11070,0.0029211686613416724,1,1,0.0,0.0,1.0,0.0,0.8,0.3,0.2,2,0.2
נעמי,19188,0.00496165079205476,0,1,0.0,0.0,1.0,1.0,1,0,0.5,3,0
לאה,27315,0.0075453150171332665,1,1,0.0,0.0,1.0,0.6,1,0,0.2,2,0
בתיה,9261,0.0025484629724907477,1,1,0.0,0.0,1.0,0.0,0.8,0,0.0,3,0
עדינה,3779,0.0010453526135020443,1,1,0.0,0.0,1.0,0.4,0.4,0.2,0.6,3,0
תמר,45647,0.011552803522149263,0,1,0.0,0.0,1.0,0.5,1,1,0.5,2,0
רחל,58279,0.016596819262347507,1,1,0.0,0.0,1.0,1.0,1,0.5,0.5,2,0
אסתר,58201,0.016489245042922606,1,1,0.0,0.0,1.0,1.0,1,0.2,0.5,2,0.6
יעל,52200,0.013719901493924441,0,1,0.0,0.0,1.0,0.5,1,1,0.2,2,0
שרה,59249,0.016076017630494953,1,1,0.0,0.0,1.0,1.0,1,0,0.2,2,0
מלכה,19063,0.005181948874398118,1,1,0.0,0.0,1.0,0.3,0.8,0,0.2,2,0
ליאנה,1141,0.0003190377114673793,0,1,1.0,0.0,0.0,0.6,0.2,0.5,0.5,3,0.5
מיכל,49514,0.01346857091562327,0,1,0.0,0.0,1.0,0.6,1,0,0.5,2,0
רות,28054,0.007683000682154756,1,1,0.0,0.0,1.0,1.0,1,0.5,0.5,1,0
מישל,4488,0.001211124157041268,0,1,0.0,0.0,1.0,1.0,0.2,0,0.5,2,0
בת ציון,396,9.993482779015498e-05,0,1,0.0,0.0,0.0,0.0,0.8,0.2,0.2,4,0
בינה,803,0.00022472935454802685,1,1,0.0,0.0,0.0,0.0,0.8,0,0.2,2,0.2
בת שבע,7793,0.002111220634311467,0,1,0.0,0.0,1.0,0.5,1,0.2,0.5,3,0
עטרה,2089,0.0005407945081527901,1,1,0.0,0.0,0.0,0.0,0.4,0.2,0.6,3,0
אליסה,1524,0.0004001541374480125,0,1,0.0,0.0,0.0,1.0,0.2,0,0.5,3,0
צביה,4825,0.0013913524682005916,1,1,0.0,0.0,1.0,0.0,0.8,1,0.2,2,0
יהודית,22153,0.006217421830998076,1,1,0.0,0.0,1.0,0.5,1,0,0.2,3,0
רעיה,2261,0.0006486848676194451,0,1,0.0,0.0,0.0,0.0,0.4,0.2,0.2,3,0
סופי,1590,0.0004528023771963619,0,1,0.0,0.0,0.0,1.0,0.2,0,0.2,2,0
אלה,25544,0.0066015078391815476,1,1,0.0,0.0,1.0,0.6,0.8,1,0.5,2,0
אווה,3792,0.0010629384257361074,0,1,0.0,0.0,1.0,0.8,1,0.5,0.5,2,0
